Comment	R Rajter et al. 2013, RSC Advances, DOI 10.1039/c2ra20083j
Number Of Points	12500
Number Of Subfiles	1
X Axis	eV
Y Axis	Arbitrary
0.0	113.52507019042969
0.02000160012801024	103.30940246582031
0.04000320025602048	82.24455261230469
0.06000480038403072	62.63921356201172
0.08000640051204096	48.001014709472656
0.10000800064005119	37.65187454223633
0.12000960076806144	30.327491760253906
0.14001120089607166	25.048839569091797
0.1600128010240819	21.15911102294922
0.18001440115209216	18.229358673095703
0.20001600128010238	15.977516174316406
0.22001760140811263	14.21478271484375
0.24001920153612288	12.812132835388184
0.2600208016641331	11.679537773132324
0.2800224017921433	10.752914428710938
0.3000240019201536	9.985801696777344
0.3200256020481638	9.343936920166016
0.34002720217617405	8.801654815673828
0.3600288023041843	8.339455604553223
0.38003040243219455	7.942328929901123
0.40003200256020477	7.598580837249756
0.42003360268821505	7.298999786376953
0.44003520281622527	7.036256313323975
0.4600368029442355	6.804463863372803
0.48003840307224577	6.598852157592773
0.500040003200256	6.415525913238525
0.5200416033282662	6.251279830932617
0.5400432034562764	6.103458404541016
0.5600448035842867	5.969846725463867
0.580046403712297	5.8485870361328125
0.6000480038403072	5.7381110191345215
0.6200496039683174	5.637088775634766
0.6400512040963277	5.544387340545654
0.6600528042243379	5.459035396575928
0.6800544043523481	5.380197048187256
0.7000560044803583	5.307151794433594
0.7200576046083687	5.2392730712890625
0.7400592047363789	5.176016807556152
0.7600608048643891	5.116907119750977
0.7800624049923993	5.061526775360107
0.8000640051204095	5.009509086608887
0.8200656052484198	4.960531234741211
0.8400672053764301	4.914306640625
0.8600688055044403	4.870582580566406
0.8800704056324505	4.8291335105896
0.9000720057604608	4.789758205413818
0.920073605888471	4.752277851104736
0.9400752060164812	4.716531276702881
0.9600768061444915	4.682374954223633
0.9800784062725018	4.649679660797119
1.000080006400512	4.618327617645264
1.020081606528522	4.588214874267578
1.0400832066565324	4.559245586395264
1.0600848067845428	4.5313334465026855
1.0800864069125529	4.504400730133057
1.1000880070405632	4.478376865386963
1.1200896071685733	4.4531965255737305
1.1400912072965836	4.428801536560059
1.160092807424594	4.405137538909912
1.180094407552604	4.3821563720703125
1.2000960076806144	4.3598127365112305
1.2200976078086245	4.3380656242370605
1.2400992079366349	4.316877365112305
1.260100808064645	4.296213626861572
1.2801024081926553	4.276042938232422
